127.0.0.1 - - [25/Apr/2022:09:20:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:20:59 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:20:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:22 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:42 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:53 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:53 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:53 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:23:55 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:24 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:44 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:51 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:52 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:52 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:53 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:54 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:55 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:55 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:55 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:55 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:55 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:55 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:09:24:56 +0900] "GET /studyhtml5/ch10/css01_background_attachment.html HTTP/1.1" 304 -
