127.0.0.1 - - [28/Apr/2022:09:31:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:31:20 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:31:20 +0900] "GET /studyhtml5/js/j02/j01.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:31:20 +0900] "GET /studyhtml5/asset/js/basic.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:31:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:31:55 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:31:55 +0900] "GET /studyhtml5/js/j02/j01.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:35:28 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:35:28 +0900] "GET /studyhtml5/js/j02/j01.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:37:42 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:37:42 +0900] "GET /studyhtml5/js/j02/j01.js HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:44:20 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:44:20 +0900] "GET /studyhtml5/js/j02/j01.js HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:46:48 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:46:48 +0900] "GET /studyhtml5/js/j02/j02.js HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:47:51 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:47:51 +0900] "GET /studyhtml5/js/j02/j02.js HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:48:37 +0900] "GET /studyhtml5/js/j02/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:09:48:37 +0900] "GET /studyhtml5/js/j02/j02.js HTTP/1.1" 200 505
