127.0.0.1 - - [22/Apr/2022:09:26:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:26:18 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:26:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:26:55 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:27:11 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:27:55 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:28:49 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:32:13 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:44:37 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:45:02 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:46:58 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:48:29 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:48:42 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:49:16 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:49:18 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:49:40 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:50:16 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:01:45 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:08:37 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:08:37 +0900] "GET /studyhtml5/imgs/img02.jpg HTTP/1.1" 200 123623
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:09:38 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:09:39 +0900] "GET /studyhtml5/imgs/spring.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:10:38 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:11:48 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:03 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:32 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:16:45 +0900] "GET /studyhtml5/ch09/css04_text_indent.html HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:17:19 +0900] "GET /studyhtml5/ch09/css04_text_indent.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:25:29 +0900] "GET /studyhtml5/ch09/css05_text_word_wrap.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:26:02 +0900] "GET /studyhtml5/ch09/css05_text_word_wrap.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:26:56 +0900] "GET /studyhtml5/ch09/css05_text_word_wrap.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:27:26 +0900] "GET /studyhtml5/ch09/css05_text_word_wrap.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:29:43 +0900] "GET /studyhtml5/ch09/css05_text_word_wrap.html HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:30:05 +0900] "GET /studyhtml5/ch09/css05_text_word_wrap.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:45:29 +0900] "GET /studyhtml5/ch09/css06_text.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:46:10 +0900] "GET /studyhtml5/ch09/css06_text.html HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:47:16 +0900] "GET /studyhtml5/ch09/css06_text.html HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:47:16 +0900] "GET /studyhtml5/ch09/css06_text.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:47:17 +0900] "GET /studyhtml5/ch09/css06_text.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:47:46 +0900] "GET /studyhtml5/ch09/css06_text.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:48:51 +0900] "GET /studyhtml5/ch09/css06_text.html HTTP/1.1" 200 1085
