127.0.0.1 - - [20/Apr/2022:09:17:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:17:40 +0900] "GET /studyhtml5/ch06/html01_output.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:17:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:18:22 +0900] "GET /studyhtml5/ch06/html01_output.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:20:16 +0900] "GET /studyhtml5/ch06/html01_output.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:37:41 +0900] "GET /studyhtml5/ch06/html02_audio.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:37:42 +0900] "GET /studyhtml5/ch06/play4.mp3 HTTP/1.1" 206 139212
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:38:05 +0900] "GET /studyhtml5/ch06/html02_audio.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:47:41 +0900] "GET /studyhtml5/ch06/html03_video.html HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:47:41 +0900] "GET /studyhtml5/ch06/sea.mp4 HTTP/1.1" 206 1965631
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:47:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:05:12 +0900] "GET /studyhtml5/ch06/html04_embed.html HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:05:12 +0900] "GET /studyhtml5/imgs/spring.png HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:19 +0900] "GET /studyhtml5/ch06/html04_embed.html HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:19 +0900] "GET /studyhtml5/ch06/html02_audio.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:19 +0900] "GET /studyhtml5/ch06/play4.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:30 +0900] "GET /studyhtml5/ch06/html04_embed.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:30 +0900] "GET /studyhtml5/ch06/sea.mp4 HTTP/1.1" 200 1965631
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:30 +0900] "GET /studyhtml5/ch06/sea.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:11:30 +0900] "GET /studyhtml5/ch06/html05_object.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:08 +0900] "GET /studyhtml5/ch06/html05_object.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:08 +0900] "GET /studyhtml5/ch06/html02_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:08 +0900] "GET /studyhtml5/ch06/play4.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:50 +0900] "GET /studyhtml5/ch06/html05_object.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:50 +0900] "GET /studyhtml5/ch06/html05_object.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:13:23 +0900] "GET /studyhtml5/ch06/html05_object.html HTTP/1.1" 200 786
