127.0.0.1 - - [02/May/2022:09:20:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/May/2022:09:20:04 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/May/2022:09:20:04 +0900] "GET /studyhtml5/js/j04/j01.js HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [02/May/2022:09:20:04 +0900] "GET /studyhtml5/asset/js/basic.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [02/May/2022:09:22:23 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:09:22:23 +0900] "GET /studyhtml5/js/j04/j01.js HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [02/May/2022:09:22:23 +0900] "GET /studyhtml5/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:09:44:50 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/May/2022:09:44:50 +0900] "GET /studyhtml5/js/j04/j02.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [02/May/2022:09:46:00 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:09:46:00 +0900] "GET /studyhtml5/js/j04/j02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:15:50 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/May/2022:10:15:50 +0900] "GET /studyhtml5/js/j04/j03.js HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [02/May/2022:10:16:09 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:16:09 +0900] "GET /studyhtml5/js/j04/j03.js HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [02/May/2022:10:17:18 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:17:18 +0900] "GET /studyhtml5/js/j04/j03.js HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [02/May/2022:10:26:50 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/May/2022:10:26:50 +0900] "GET /studyhtml5/js/j04/j04.js HTTP/1.1" 200 219
